test_instances/medium/inst_200_20_00006;test_instances/medium/inst_200_20_00005;test_instances/medium/inst_200_20_00010;test_instances/medium/inst_200_20_00008;test_instances/medium/inst_200_20_00002;test_instances/medium/inst_200_20_00001;test_instances/medium/inst_200_20_00003;test_instances/medium/inst_200_20_00009;test_instances/medium/inst_200_20_00004;test_instances/medium/inst_200_20_00007
1020255.0;1438139.0;343910.0;558877.0;7604251.0;22075098.0;3790223.0;429341.0;2158666.0;760810.0
1022825.0;1445336.0;343431.0;559696.0;7621338.0;22105379.0;3790981.0;430925.0;2161959.0;765094.0
1024027.0;1444100.0;344530.0;559994.0;7608407.0;22073765.0;3797732.0;429771.0;2155096.0;762885.0
1022082.0;1442808.0;344392.0;560875.0;7607889.0;22087335.0;3798403.0;430537.0;2158254.0;762432.0
1023088.0;1444503.0;343000.0;558212.0;7610979.0;22121486.0;3791003.0;429898.0;2154765.0;763755.0
1022325.0;1445513.0;345056.0;561959.0;7626292.0;22098674.0;3792405.0;429568.0;2155322.0;764285.0
1023678.0;1442027.0;343568.0;558857.0;7614380.0;22097546.0;3789843.0;427743.0;2154465.0;760854.0
1022007.0;1443229.0;343572.0;561090.0;7607814.0;22077827.0;3787661.0;430623.0;2162748.0;762627.0
1021658.0;1439238.0;342718.0;561120.0;7595273.0;22087995.0;3787295.0;430855.0;2151891.0;761016.0
1024963.0;1444641.0;344247.0;559790.0;7606267.0;22098606.0;3800780.0;429569.0;2154274.0;764290.0
