test_instances/small/inst_50_4_00006;test_instances/small/inst_50_4_00002;test_instances/small/inst_50_4_00007;test_instances/small/inst_50_4_00005;test_instances/small/inst_50_4_00003;test_instances/small/inst_50_4_00008;test_instances/small/inst_50_4_00009;test_instances/small/inst_50_4_00010;test_instances/small/inst_50_4_00001;test_instances/small/inst_50_4_00004
2854.0;21804.0;2260.0;4496.0;11410.0;1873.0;1062.0;787.0;81856.0;5919.0
2840.0;21808.0;2254.0;4465.0;11449.0;1867.0;1067.0;783.0;81792.0;5891.0
2842.0;21770.0;2256.0;4481.0;11433.0;1864.0;1060.0;784.0;81829.0;5893.0
2855.0;21855.0;2254.0;4474.0;11442.0;1873.0;1068.0;795.0;81866.0;5919.0
2845.0;21767.0;2247.0;4473.0;11421.0;1867.0;1058.0;786.0;81784.0;5890.0
2841.0;21766.0;2249.0;4472.0;11437.0;1868.0;1058.0;789.0;81818.0;5890.0
2844.0;21769.0;2251.0;4491.0;11436.0;1873.0;1061.0;790.0;81826.0;5903.0
2842.0;21765.0;2251.0;4482.0;11421.0;1865.0;1064.0;783.0;81782.0;5895.0
2841.0;21766.0;2254.0;4493.0;11418.0;1874.0;1065.0;786.0;81867.0;5902.0
2839.0;21765.0;2251.0;4464.0;11410.0;1864.0;1061.0;782.0;81787.0;5893.0
